Business Metric Name,Metric Name,Business Definition ,Mart Table Source (If Exists),Calculation ,Time Field,Dimensions,Derived,Domain
Account Value,account_value,"Value of the client's account involved in the transfer, indicating business importance.",money_movement.dim_accounts,account_value,transitioned_date,Transfer,No,Transfers
Adherence,adherence,Amount of time spent in adherent state relative to productive time,dim_agent_scheduling_daily,"sum(1.0000 * adherence_productive_time) / nullif({{ metric(""scheduled_productive_hours"") }}),0)",summary_date,"Agent, Team",Yes,CS
Average CSAT Score,avg_csat_score,Average CSAT score received,dim_ticket_summary_slim,AVG(csat_score_given),last_solved_date,"Ticket, Agent, Team, Client",No,CS
Average First Resolution Time,avg_first_resolution_time,Average time to first resolution,dim_ticket_summary_slim,,,,No,CS
Average First Response Time,avg_first_response_time,Average time from ticket creation to first agent response,dim_ticket_summary_slim,AVG(avg_first_response_time),last_solved_date,"Ticket, Agent, Team, Client",No,CS
Average Handle Time,avg_handle_time,Average ticket handle time,dim_ticket_summary_slim,AVG(handle_time),last_solved_date,"Ticket, Agent, Team, Client",No,CS
Average iCSAT,avg_icsat,Average iCSAT score received,prep_cx_level_ai_qa_scores,AVG(avg_icsat),last_solved_date,"Interaction, Ticket, Agent, Team, Client",No,CS
Average Interaction Time,avg_interaction_time,Average duration of an interaction,,,,"Interaction, Ticket, Agent, Team, Client",No,CS
Average NPS Score,average_nps_score,Average of the NPS scores received by agents,,,,"Agent, Team, Client",No,CS
Average QA Score,avg_qa_score,Average QA score received,prep_cx_level_ai_qa_scores,AVG(avg_qa_score),last_solved_date,"Interaction, Ticket, Agent, Team, Client",No,CS
Average Response Time,average_response_time,Average time for client to respond to correspondence,,,,,No,CS
Average Sentiment Score,avg_sentiment_score,Average score for text sentiment analysis during customer support engagement,,,,,No,CS
Average Tickets Solved,average_tickets_solved,Average number of tickets solved,dim_ticket_summary_slim,avg(case when scheduled_time is not null then 1.0000 * tickets_solved else null end),summary_date,"Ticket, Agent, Team, Client",Yes,CS
Average Transfer Count,avg_transfer_count,Average number of agent transfers,dim_ticket_summary_slim,AVG(avg_transfer_count),last_solved_date,"Ticket, Agent, Team, Client",No,CS
Backlog State End Date,backlog_end_date,"Date and time a process or task moved out of a stage considered to cause backlog, indicating when it progressed to the next step or was completed.","money_movement.fct_institutional_transfer_state_histories, ares.transfer_state_histories ",CASE WHEN backlog condition ends THEN transitioned_date ELSE NULL,transitioned_date,Transfer,No,Transfers
